National code	Exchange id	Exchange code	Exchange name	Symbol	realtime symbol	Korea name	English name	"Security type(1:Index,2:Stock,3:ETP(ETF),4:Warrant)"	currency	float position	data type	base price	Bid order size	Ask order size	market start time(HHMM)	market end time(HHMM)	DR 여부(Y/N)	DR 국가코드	업종분류코드	"지수구성종목 존재 여부(0:구성종목없음,1:구성종목있음)"	Tick size Type	"구분코드(001:ETF,002:ETN,003:ETC,004:Others,005:VIX Underlying ETF,006:VIX Underlying ETN)"	Tick size type 상세
US	21	NYS	뉴욕	CWEN/A	NYSCWEN/A	클리어웨이 에너지 A	CLEARWAY ENERGY INC	2	USD	4		27.02	1	1	930	1600	N		930	0	1	   	   
US	21	NYS	뉴욕	CWH	NYSCWH	캠핑 월드 홀딩스	CAMPING WORLD HOLDINGS INC	2	USD	4		24.52	1	1	930	1600	N		380	0	0	   	   
US	21	NYS	뉴욕	CWK	NYSCWK	쿠쉬맨 앤드 웨이크필드	CUSHMAN AND WAKEFIELD PLC	2	USD	4		13.72	1	1	930	1600	N		630	0	0	   	   
US	21	NYS	뉴욕	CWT	NYSCWT	캘리포니아 워터 서비스 그룹	CALIFORNIA WATER SERVICE GROUP	2	USD	4		54.4	1	1	930	1600	N		930	0	1	   	   
US	21	NYS	뉴욕	CX	NYSCX	세멕스(ADR)	CEMEX S.A.B. DE C.V. SPON ADR REP 10 ORD SHS	2	USD	4		6.36	1	1	930	1600	Y	MX	120	0	0	   	   
US	21	NYS	뉴욕	CXE	NYSCXE	MFS HIGH INCOME MUNICIPAL TRUST	MFS HIGH INCOME MUNICIPAL TRUST	3	USD	4		3.93	1	1	930	1600	N		0	0	0	004	   
US	21	NYS	뉴욕	CXH	NYSCXH	MFS INVESTMENT GRADE MUNICIPAL TRUST	MFS INVESTMENT GRADE MUNICIPAL TRST	3	USD	4		8.17	1	1	930	1600	N		0	0	0	004	   
US	21	NYS	뉴욕	CXM	NYSCXM	스프링클러	SPRINKLR INC	2	USD	4		7.91	1	1	930	1600	N		0	0	0	   	   
US	21	NYS	뉴욕	CXT	NYSCXT	크레인 NXT	CRANE NXT CO	2	USD	4		59.86	1	1	930	1600	N		0	0	0	   	   
US	21	NYS	뉴욕	CXW	NYSCXW	코어시빅	CORECIVIC INC	2	USD	4		12.73	1	1	930	1600	N		630	0	0	   	   
US	21	NYS	뉴욕	CYD	NYSCYD	차이나 유차이 인터내셔널	CHINA YUCHAI INTERNATIONAL	2	USD	4		12.75	1	1	930	1600	N		230	0	1	   	   
US	21	NYS	뉴욕	CYH	NYSCYH	커뮤니티 헬스 시스템스	COMMUNITY HEALTH SYSTEMS INC(NEW)	2	USD	4		5.83	1	1	930	1600	N		510	0	0	   	   
US	21	NYS	뉴욕	D	NYSD	도미니언 에너지	DOMINION ENERGY INC	2	USD	4		57.48	1	1	930	1600	N		930	0	0	   	   
US	21	NYS	뉴욕	DAC	NYSDAC	다나오스	DANAOS CORP	2	USD	4		81.73	1	1	930	1600	N		280	0	1	   	   
US	21	NYS	뉴욕	DAL	NYSDAL	델타 에어라인스	DELTA AIR LINES INC	2	USD	4		47.13	1	1	930	1600	N		270	0	0	   	   
US	21	NYS	뉴욕	DAN	NYSDAN	다나	DANA INCORPORATED	2	USD	4		10.47	1	1	930	1600	N		320	0	0	   	   
US	21	NYS	뉴욕	DAO	NYSDAO	유다오(ADR)	YOUDAO INC SPON ADS EACH REP 1 ORD SHS CL A	2	USD	4		3.15	1	1	930	1600	N		0	0	0	   	   
US	21	NYS	뉴욕	DAR	NYSDAR	달링 인그리디언츠	DARLING INGREDIENTS INC	2	USD	4		37.1	1	1	930	1600	N		410	0	0	   	   
US	21	NYS	뉴욕	DAVA	NYSDAVA	엔다바(ADR)	ENDAVA PLC SPON ADS EACH REP 1 ORD SHS CL A	2	USD	4		27.66	1	1	930	1600	N		720	0	0	   	   
US	21	NYS	뉴욕	DAY	NYSDAY	데이포스	DAYFORCE INC	2	USD	4		59.64	1	1	930	1600	N		0	0	0	   	   
US	21	NYS	뉴욕	DB	NYSDB	도이치뱅크	DEUTSCHE BANK AG	2	USD	4		17.01	1	1	930	1600	N		640	0	0	   	   
US	21	NYS	뉴욕	DBD	NYSDBD	다이볼드 닉스도프	DIEBOLD NIXDORF INCORPORATED	2	USD	4		43.14	1	1	930	1600	N		0	0	1	   	   
US	21	NYS	뉴욕	DBI	NYSDBI	디자이너 브랜즈	DESIGNER BRANDS INC	2	USD	4		6.48	1	1	930	1600	N		380	0	0	   	   
US	21	NYS	뉴욕	DBL	NYSDBL	DOUBLELINE OPPORTUNISTIC CREDIT FUND	DOUBLELINE OPPORTUNISTIC CR FD	3	USD	4		16.04	1	1	930	1600	N		0	0	0	004	   
