S	Exchange id	Exchange code	Exchange name	Symbol	realtime symbol	Korea name	English name	"Security type(1:Index,2:Stock,3:ETP(ETF),4:Warrant)"	currency	float position	data type	base price	Bid order size	Ask order size	market start time(HHMM)	market end time(HHMM)	DR 여부(Y/N)	DR 국가코드	업종분류코드	"지수구성종목 존재 여부(0:구성종목없음,1:구성종목있음)"	Tick size Type	"구분코드(001:ETF,002:ETN,003:ETC,004:Others,005:VIX Underlying ETF,006:VIX Underlying ETN)"	Tick size type 상세
US	22	NAS	나스닥	CPLP	NASCPLP	캐피털 프라덕츠 파트너스	CAPITAL PRODUCT PARTNERS L P	2	USD	4		16.77	1	1	930	1600	N		10	0	1	   	   
US	22	NAS	나스닥	CPLS	NASCPLS	AB ACTIVE ETFS INC CORE PLUS BOND ETF USD	AB ACTIVE ETFS INC CORE PLUS BOND ETF USD	3	USD	4		36.54	1	1	930	1600	N		0	0	0	001	   
US	22	NAS	나스닥	CPOP	NASCPOP	팝 컬처 그룹	POP CULTURE GROUP CO LTD	2	USD	4		1.15	1	1	930	1600	N		0	0	0	   	   
US	22	NAS	나스닥	CPRT	NASCPRT	코파트	COPART INC	2	USD	4		51.8	1	1	930	1600	N		260	0	0	   	   
US	22	NAS	나스닥	CPRX	NASCPRX	캐털리스트 파머슈티컬스	CATALYST PHARMACEUTICALS INC	2	USD	4		21.35	1	1	930	1600	N		530	0	0	   	   
US	22	NAS	나스닥	CPSH	NASCPSH	CPS 테크놀로지스	CPS TECHNOLOGIES CORPORATION	2	USD	4		1.43	1	1	930	1600	N		730	0	0	   	   
US	22	NAS	나스닥	CPSS	NASCPSS	컨슈머 포트폴리오 서비시스	CONSUMER PORTFOLIO SERVICES	2	USD	4		9.98	1	1	930	1600	N		640	0	1	   	   
US	22	NAS	나스닥	CPTN	NASCPTN	셉턴	CEPTON INC	2	USD	4		3.06	1	1	930	1600	N		0	0	0	   	   
US	22	NAS	나스닥	CPTNW	NASCPTNW	셉턴 콜 워런트(2027-06-01)	CEPTON INC C/WTS 01/06/2027 (TO PUR COM)	2	USD	4		0.0099	1	1	930	1600	N		0	0	0	   	   
US	22	NAS	나스닥	CPZ	NASCPZ	CALAMOS LONG-SHORT EQUITY & DYNAMIC INCOME TRUST	CALAMOS L/S EQTY & DYNMC INCOME TR	3	USD	4		15.56	1	1	930	1600	N		0	0	0	004	   
US	22	NAS	나스닥	CRAI	NASCRAI	CRA 인터내셔널	CRA INTERNATIONAL INC	2	USD	4		167.7	1	1	930	1600	N		260	0	1	   	   
US	22	NAS	나스닥	CRBP	NASCRBP	코버스 파머슈티컬스 홀딩스	CORBUS PHARMACEUTICALS HOLDINGS IN	2	USD	4		51.7	1	1	930	1600	N		530	0	1	   	   
US	22	NAS	나스닥	CRBU	NASCRBU	카리부 바이오사이언시스	CARIBOU BIOSCIENCES INC	2	USD	4		2.07	1	1	930	1600	N		0	0	0	   	   
US	22	NAS	나스닥	CRCT	NASCRCT	크리컷	CRICUT INC	2	USD	4		6.55	1	1	930	1600	N		0	0	0	   	   
US	22	NAS	나스닥	CRDF	NASCRDF	카디프 온콜로지	CARDIFF ONCOLOGY INC	2	USD	4		2.53	1	1	930	1600	N		0	0	0	   	   
US	22	NAS	나스닥	CRDL	NASCRDL	카르디올 테라퓨틱스	CARDIOL THERAPEUTICS INC	2	USD	4		2.25	1	1	930	1600	N		0	0	0	   	   
US	22	NAS	나스닥	CRDO	NASCRDO	크리도 테크놀로지 그룹 홀딩	CREDO TECHNOLOGY GROUP HOLDING LTD	2	USD	4		28.98	1	1	930	1600	N		0	0	0	   	   
US	22	NAS	나스닥	CREG	NASCREG	스마트 파워	SMART POWERR CORP	2	USD	4		0.81	1	1	930	1600	N		260	0	0	   	   
US	22	NAS	나스닥	CRESY	NASCRESY	크레수드(ADR)	CRESUD S.A.C.I.F.Y.A. SPONS ADR EACH REP 10 COM ARS1	2	USD	4		9.23	1	1	930	1600	Y	AR	630	0	0	   	   
US	22	NAS	나스닥	CREV	NASCREV	카본 레볼루션	CARBON REVOLUTION PUBLIC LIMITED CO	2	USD	4		5.12	1	1	930	1600	N		0	0	0	   	   
US	22	NAS	나스닥	CREX	NASCREX	크리에이티브 리얼리티스	CREATIVE REALITIES INC	2	USD	4		4.45	1	1	930	1600	N		370	0	0	   	   
US	22	NAS	나스닥	CRGO	NASCRGO	프레이토스	FREIGHTOS LIMITED	2	USD	4		1.38	1	1	930	1600	N		0	0	0	   	   
US	22	NAS	나스닥	CRGOW	NASCRGOW	프레이토스 워런트	FREIGHTOS LIMITED C/WTS (TO PUR ORD)	2	USD	4		0.0888	1	1	930	1600	N		0	0	0	   	   
US	22	NAS	나스닥	CRGX	NASCRGX	카고 테라퓨틱스	CARGO THERAPEUTICS INC	2	USD	4		25	1	1	930	1600	N		0	0	0	   	   
US	22	NAS	나스닥	CRIS	NASCRIS	큐리스	CURIS INC	2	USD	4		5.93	1	1	930	1600	N		530	0	0	   	   
US	22	NAS	나스닥	CRKN	NASCRKN	크라운 일렉트로키네틱스	CROWN ELECTROKINETICS CORP	2	USD	4		1.24	1	1	930	1600	N		0	0	0	   	   
US	22	NAS	나스닥	CRMD	NASCRMD	코메딕스	CORMEDIX INC	2	USD	4		7.01	1	1	930	1600	N		0	0	0	   	   
US	22	NAS	나스닥	CRML	NASCRML	크리티컬 메탈스	CRITICAL METALS CORPORATION	2	USD	4		7.71	1	1	930	1600	N		0	0	0	   	   
US	22	NAS	나스닥	CRMT	NASCRMT	아메리카스 카 마트	AMERICA S CAR-MART INC	2	USD	4		43.12	1	1	930	1600	N		380	0	1	   	   
US	22	NAS	나스닥	CRNC	NASCRNC	세렌스	CERENCE INC	2	USD	4		2.68	1	1	930	1600	N		0	0	0	   	   
US	22	NAS	나스닥	CRNT	NASCRNT	세라건 네트웍스	CERAGON NETWORKS LTD	2	USD	4		2.68	1	1	930	1600	N		740	0	0	   	   
US	22	NAS	나스닥	CRNX	NASCRNX	크리네틱스 파머슈티컬스	CRINETICS PHARMACEUTICALS INC	2	USD	4		53.88	1	1	930	1600	N		530	0	0	   	   
US	22	NAS	나스닥	CRON	NASCRON	크로노스 그룹	CRONOS GROUP INC	2	USD	4		2.23	1	1	930	1600	N		520	0	0	   	   
US	22	NAS	나스닥	CROX	NASCROX	크록스	CROCS INC	2	USD	4		137.92	1	1	930	1600	N		330	0	1	   	   
US	22	NAS	나스닥	CRSP	NASCRSP	크리스퍼 테라퓨틱스	CRISPR THERAPEUTICS AG	2	USD	4		49.49	1	1	930	1600	N		530	0	0	   	   
US	22	NAS	나스닥	CRSR	NASCRSR	커세어 게이밍	CORSAIR GAMING INC	2	USD	4		6.53	1	1	930	1600	N		0	0	0	   	   
